Street,Vicinity,City,District,Province,Classification,Zonal Value,Barangay
CADENA DE AMOR,ESTERO TRIPA DE GALLINA - WALING WALING,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,40000,
CADENA DE AMOR,ESTERO TRIPA DE GALLINA - WALING WALING,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,35000,
DAMA DE NOCHE,CADENA DE AMOR - CAMIA,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,40000,
DAMA DE NOCHE,CADENA DE AMOR - CAMIA,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,35000,
*DIAN,FLORENTINO TORRES ( formerly DAGONOY ) - ARELLANO AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,*,
ESPIRITU,FLORENTINO TORRES ( formerly DAGONOY ) - ARELLANO AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,53000,
ESPIRITU,FLORENTINO TORRES ( formerly DAGONOY ) - ARELLANO AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,44000,
FLORENTINO TORRES ( formerly DAGONOY ),ESPIRITU - DIAN,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,64000,
FLORENTINO TORRES ( formerly DAGONOY ),ESPIRITU - DIAN,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,53000,
JACOBO,CONG AUGUSTO FRANCISCO(formerly ESGUERRA) - FLORENTINO TORRES ( formerly DAGONOY ),Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,40000,
JACOBO,CONG AUGUSTO FRANCISCO(formerly ESGUERRA) - FLORENTINO TORRES ( formerly DAGONOY ),Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,35000,
*JASMIN,LEYTE- CADENA DE AMOR,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,*,
**CONG AUGUSTO FRANCISCO(formerly ESGUERRA),ARELLANO AVENUE - ESPIRITU,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,53000,
**CONG AUGUSTO FRANCISCO(formerly ESGUERRA),ARELLANO AVENUE - ESPIRITU,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,44000,
**WALING-WALING,FLORENTINO TORRES ( formerly DAGONOY ) - ARELLANO AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,40000,
**WALING-WALING,FLORENTINO TORRES ( formerly DAGONOY ) - ARELLANO AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,35000,
**ROSAL,ESTERO TRIPA DE GALLINA - JASMIN,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,40000,
**ROSAL,ESTERO TRIPA DE GALLINA - JASMIN,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,35000,
**CAMIA,ESTERO TRIPA DE GALLINA - ARELLANO AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,40000,
**CAMIA,ESTERO TRIPA DE GALLINA - ARELLANO AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,35000,
* Does not exist during ocular inspection and certified by Brgy Chairman/City Assessor,ESTERO TRIPA DE GALLINA - ARELLANO AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,,,
** Identified streets during ocular inspection and certified by Brgy Chairman/City Assessor,ESTERO TRIPA DE GALLINA - ARELLANO AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,,,
PROVINCE,: NATIONAL CAPITAL REGION (NCR),Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,,,
City/MUNICIPALITY,: PACO - PANDACAN - STA. ANA - SAN ANDRES,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,,,
Zone/Barangay,81754,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,DO No.,78-2019,
Zone/Barangay,81754,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,Effectivity date,2019-11-29 00:00:00,
STREET/SUBDIVISION/     CONDOMINIUM,V I C I N I T Y,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CLASSSIFICATION,5TH REVISION ZV/SQ. M,
ARELLANO AVENUE,CADENA DE AMOR - ZAPANTA,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,53000,
ARELLANO AVENUE,CADENA DE AMOR - ZAPANTA,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,44000,
CADENA DE AMOR,ESTERO TRIPA DE GALLINA - CALLEJON PITIMINI,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,40000,
CADENA DE AMOR,ESTERO TRIPA DE GALLINA - CALLEJON PITIMINI,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,35000,
*DIAN,CADENA DE AMOR - FLORENTINO TORRES ( formerly DAGONOY ),Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,*,
FLORENTINO TORRES(formerly DAGONOY),ARELLANO AVENUE - DIAN,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,50000,
FLORENTINO TORRES(formerly DAGONOY),ARELLANO AVENUE - DIAN,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,44000,
ZAPANTA,ESTERO TRIPA DE GALLINA - DIAN,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,50000,
ZAPANTA,ESTERO TRIPA DE GALLINA - DIAN,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,44000,
**CHAMPACA,CADENA DE AMOR - END,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,40000,
**CHAMPACA,CADENA DE AMOR - END,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,35000,
**DAMA DE NOCHE,CADENA DE AMOR - END,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,40000,
**DAMA DE NOCHE,CADENA DE AMOR - END,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,35000,
**JASMINE,CADENA DE AMOR - END,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,40000,
**JASMINE,CADENA DE AMOR - END,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,35000,
**CALLEJON PITIMINI,CADENA DE AMOR - END,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,40000,
**CALLEJON PITIMINI,CADENA DE AMOR - END,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,35000,
* Does not exist during ocular inspection and certified by Brgy Chairman/City Assessor,CADENA DE AMOR - END,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,,,
** Identified streets during ocular inspection and certified by Brgy Chairman/City Assessor,CADENA DE AMOR - END,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,,,
Zone/Barangay,82755,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,,,
STREET/SUBDIVISION/     CONDOMINIUM,V I C I N I T Y,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CLASSSIFICATION,5TH REVISION ZV/SQ. M,
ARELLANO AVENUE ,PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,88000,
ARELLANO AVENUE ,PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,66000,
ENRIQUE,PABLO OCAMPO SR. ( formerly VITO CRUZ )  - ZOBEL ROXAS AVE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,88000,
ENRIQUE,PABLO OCAMPO SR. ( formerly VITO CRUZ )  - ZOBEL ROXAS AVE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,66000,
MERCEDES,PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,88000,
MERCEDES,PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,66000,
A. ROXAS,ARELLANO AVENUE - BAUTISTA ,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,88000,
A. ROXAS,ARELLANO AVENUE - BAUTISTA ,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,66000,
PABLO OCAMPO SR. ( formerly VITO CRUZ ),BAUTISTA - ARELLANO AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,132000,
PABLO OCAMPO SR. ( formerly VITO CRUZ ),BAUTISTA - ARELLANO AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,99000,
ZOBEL ROXAS AVENUE,BAUTISTA - ARELLANO AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,110000,
ZOBEL ROXAS AVENUE,BAUTISTA - ARELLANO AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,88000,
BAUTISTA,PABLO OCAMPO SR. ( formerly VITO CRUZ ). - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,74000,
BAUTISTA,PABLO OCAMPO SR. ( formerly VITO CRUZ ). - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,55000,
CONDOMINIUMS, ,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,,,
RSG - ST. SCHO RESIDENS,ARELLANO AVENUE COR. ZOBEL ROXAS,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CC,165000,
RSG - ST. SCHO RESIDENS,ARELLANO AVENUE COR. ZOBEL ROXAS,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RC,150000,
RSG - ST. SCHO RESIDENS,ARELLANO AVENUE COR. ZOBEL ROXAS,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,PS,115000,
LUXOR CONDO,2619 ENRIQUE ST.,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CC,155000,
LUXOR CONDO,2619 ENRIQUE ST.,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RC,130000,
LUXOR CONDO,2619 ENRIQUE ST.,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,PS,110000,
PROVINCE,: NATIONAL CAPITAL REGION (NCR),Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,,,
City/MUNICIPALITY,: PACO - PANDACAN - STA. ANA - SAN ANDRES,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,,,
Zone/Barangay,82756,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,DO No.,78-2019,
Zone/Barangay,82756,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,Effectivity date,2019-11-29 00:00:00,
STREET/SUBDIVISION/     CONDOMINIUM,V I C I N I T Y,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CLASSSIFICATION,5TH REVISION ZV/SQ. M,
BAUTISTA,PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,90000,
BAUTISTA,PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,65000,
BAUTISTA,PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,X,90000,
CONCHU,PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,90000,
CONCHU,PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,65000,
DIAN,PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,90000,
DIAN,PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,65000,
FERNANDO,PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,90000,
FERNANDO,PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,65000,
A. ROXAS ,BAUTISTA - DIAN,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,90000,
A. ROXAS ,BAUTISTA - DIAN,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,65000,
TOMAS AYALA,PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,90000,
TOMAS AYALA,PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,65000,
PABLO OCAMPO SR. ( formerly VITO CRUZ ),BAUTISTA - DIAN,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,132000,
PABLO OCAMPO SR. ( formerly VITO CRUZ ),BAUTISTA - DIAN,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,99000,
ZOBEL ROXAS AVENUE,BAUTISTA - DIAN,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,132000,
ZOBEL ROXAS AVENUE,BAUTISTA - DIAN,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,99000,
Zone/Barangay,82757,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,,,
STREET/SUBDIVISION/     CONDOMINIUM,V I C I N I T Y,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CLASSSIFICATION,5TH REVISION ZV/SQ. M,
*ALEJO AQUINO,PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,*,
*ALFONSO,PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,*,
DIAN,PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,90000,
DIAN,PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,65000,
ESPIRITU,PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,90000,
ESPIRITU,PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,65000,
JACOBO,PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,90000,
JACOBO,PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,65000,
PABLO OCAMPO SR. ( formerly VITO CRUZ ),DIAN - ALFONSO,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,132000,
PABLO OCAMPO SR. ( formerly VITO CRUZ ),DIAN - ALFONSO,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,99000,
ZOBEL ROXAS AVENUE,DIAN - ALFONSO,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,132000,
ZOBEL ROXAS AVENUE,DIAN - ALFONSO,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,99000,
CONDOMINIUMS,DIAN - ALFONSO,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,,,
ERISHA CONDOMINIUM,1142 PABLO OCAMPO ST.  ,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CC,130000,
ERISHA CONDOMINIUM,1142 PABLO OCAMPO ST.  ,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RC,110000,
ERISHA CONDOMINIUM,1142 PABLO OCAMPO ST.  ,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,PS,90000,
* Does not exist during ocular inspection and certified by Brgy Chairman/City Assessor,1142 PABLO OCAMPO ST.  ,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,,,
Zone/Barangay,82758,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,,,
STREET/SUBDIVISION/     CONDOMINIUM,V I C I N I T Y,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CLASSSIFICATION,5TH REVISION ZV/SQ. M,
ALEJO AQUINO,PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,90000,
ALEJO AQUINO,PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,65000,
GREGORIO DEL PILAR,PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,90000,
GREGORIO DEL PILAR,PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,65000,
PRESIDENT SERGIO OSMEÑA HIGHWAY(formerly SOUTH SUPERHIGHWAY),PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,135000,
PRESIDENT SERGIO OSMEÑA HIGHWAY(formerly SOUTH SUPERHIGHWAY),PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,113000,
TAAL,PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,90000,
TAAL,PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,65000,
PABLO OCAMPO SR. ( formerly VITO CRUZ ),"PRESIDENT SERGIO OSMEÑA, SR HIGHWAY (formerly SOUTH SUPERHIGHWAY) - ALFONSO",Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,132000,
PABLO OCAMPO SR. ( formerly VITO CRUZ ),"PRESIDENT SERGIO OSMEÑA, SR HIGHWAY (formerly SOUTH SUPERHIGHWAY) - ALFONSO",Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,99000,
ZOBEL ROXAS AVENUE ,"PRESIDENT SERGIO OSMEÑA, SR HIGHWAY (formerly SOUTH SUPERHIGHWAY) - ALFONSO",Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,132000,
ZOBEL ROXAS AVENUE ,"PRESIDENT SERGIO OSMEÑA, SR HIGHWAY (formerly SOUTH SUPERHIGHWAY) - ALFONSO",Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,99000,
*ALFONSO,PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,88000,
*ALFONSO,PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,75000,
* Identified street during ocular inspection and certified by Brgy Chairman/City Assessor,PABLO OCAMPO SR. ( formerly VITO CRUZ ) - ZOBEL ROXAS AVENUE,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,,,
PROVINCE,: NATIONAL CAPITAL REGION (NCR),Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,,,
City/MUNICIPALITY,: PACO - PANDACAN - STA. ANA - SAN ANDRES,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,,,
Zone/Barangay,82759,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,DO No.,78-2019,
Zone/Barangay,82759,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,Effectivity date,2019-11-29 00:00:00,
STREET/SUBDIVISION/     CONDOMINIUM,V I C I N I T Y,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CLASSSIFICATION,5TH REVISION ZV/SQ. M,
ALEJO AQUINO,ESTRADA - PABLO OCAMPO SR. ( formerly VITO CRUZ ),Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,79000,
ALEJO AQUINO,ESTRADA - PABLO OCAMPO SR. ( formerly VITO CRUZ ),Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,66000,
ESTRADA,"ALEJO AQUINO - PRESIDENT SERGIO OSMEÑA, SR HIGHWAY (formerly SOUTH SUPERHIGHWAY)",Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,132000,
ESTRADA,"ALEJO AQUINO - PRESIDENT SERGIO OSMEÑA, SR HIGHWAY (formerly SOUTH SUPERHIGHWAY)",Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,99000,
GREGORIO DEL PILAR,ESTRADA - PABLO OCAMPO SR. ( formerly VITO CRUZ ),Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,79000,
GREGORIO DEL PILAR,ESTRADA - PABLO OCAMPO SR. ( formerly VITO CRUZ ),Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,66000,
LEMERY,ESTRADA - PABLO OCAMPO SR. ( formerly VITO CRUZ ),Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,79000,
LEMERY,ESTRADA - PABLO OCAMPO SR. ( formerly VITO CRUZ ),Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,66000,
"PRESIDENT SERGIO OSMEÑA, SR HIGHWAY (formerly SOUTH SUPERHIGHWAY)",ESTRADA - PABLO OCAMPO SR. ( formerly VITO CRUZ ),Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,135000,
"PRESIDENT SERGIO OSMEÑA, SR HIGHWAY (formerly SOUTH SUPERHIGHWAY)",ESTRADA - PABLO OCAMPO SR. ( formerly VITO CRUZ ),Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,113000,
TAAL,ESTRADA  - PABLO OCAMPO SR. ( formerly VITO CRUZ ),Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,69000,
TAAL,ESTRADA  - PABLO OCAMPO SR. ( formerly VITO CRUZ ),Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,59000,
PABLO OCAMPO SR. ( formerly VITO CRUZ ) ,"ALEJO AQUINO - PRESIDENT SERGIO OSMEÑA, SR HIGHWAY (formerly SOUTH SUPERHIGHWAY)",Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,132000,
PABLO OCAMPO SR. ( formerly VITO CRUZ ) ,"ALEJO AQUINO - PRESIDENT SERGIO OSMEÑA, SR HIGHWAY (formerly SOUTH SUPERHIGHWAY)",Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,99000,
*DON PEDRO,"ALEJO AQUINO - PRESIDENT SERGIO OSMEÑA, SR HIGHWAY (formerly SOUTH SUPERHIGHWAY)",Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,79000,
*DON PEDRO,"ALEJO AQUINO - PRESIDENT SERGIO OSMEÑA, SR HIGHWAY (formerly SOUTH SUPERHIGHWAY)",Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,66000,
CONDOMINIUMS,"ALEJO AQUINO - PRESIDENT SERGIO OSMEÑA, SR HIGHWAY (formerly SOUTH SUPERHIGHWAY)",Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,,,
POPULAR PLACE,2521 TAAL ST.,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CC,110000,
POPULAR PLACE,2521 TAAL ST.,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RC,90000,
POPULAR PLACE,2521 TAAL ST.,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,PS,80000,
SOUTHSIDE MANSION,GREGORIO DEL PILAR,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CC,110000,
SOUTHSIDE MANSION,GREGORIO DEL PILAR,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RC,90000,
SOUTHSIDE MANSION,GREGORIO DEL PILAR,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,PS,80000,
* Identified street during ocular inspection and certified by Brgy Chairman/City Assessor,GREGORIO DEL PILAR,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,,,
Zone/Barangay,82760,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,,,
STREET/SUBDIVISION/     CONDOMINIUM,V I C I N I T Y,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CLASSSIFICATION,5TH REVISION ZV/SQ. M,
ALEJO AQUINO (RIGHT SIDE),ESTRADA - PABLO OCAMPO SR. ( formerly VITO CRUZ ),Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,79000,
ALEJO AQUINO (RIGHT SIDE),ESTRADA - PABLO OCAMPO SR. ( formerly VITO CRUZ ),Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,66000,
C.  AYALA  (RIGHT SIDE),DIAN - ESPIRITU,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,79000,
C.  AYALA  (RIGHT SIDE),DIAN - ESPIRITU,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,66000,
CONSUELO,DIAN - ALEJO AQUINO,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,79000,
CONSUELO,DIAN - ALEJO AQUINO,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,66000,
DIAN,ESTRADA - PABLO  OCAMPO SR.(formerly VITO CRUZ),Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,79000,
DIAN,ESTRADA - PABLO  OCAMPO SR.(formerly VITO CRUZ),Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,66000,
DON PEDRO,DIAN - ALEJO AQUINO,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,79000,
DON PEDRO,DIAN - ALEJO AQUINO,Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,RR,66000,
ESPIRITU,ESTRADA - PABLO OCAMPO SR. ( formerly VITO CRUZ ),Manila,"Paco, Pandacan, Sta. Ana, San Andres",NCR,CR,79000,
